species	metabolite	log2FC	SE	time
Lapi	"L-Leucine,_2TMS_derivative"	-0.055704724	0.261734099	t16
Lapi	"Glyceric_acid,_3TMS_derivative"	0.339111107	0.372847065	t16
Lapi	"Uracil,_2TMS_derivative"	2.390171096	0.489550877	t16
Lapi	"Serine,_3TMS_derivative"	-0.123491492	0.56160809	t16
Lapi	"8,10-Dioxaheptadecane"	0.019456686	0.156522615	t16
Lapi	Unknown_7_02	0.313115647	1.324351891	t16
Lapi	"Pipecolic_acid,_2TMS_derivative"	-0.149197532	0.537905166	t16
Lapi	"L-Threonine,_3TMS_derivative"	0.162116972	0.515779673	t16
Lapi	"3-Methylpiperazine-2,5-dione,_(R)-,_2TMS_derivative"	-0.016809759	0.45917501	t16
Lapi	"Pyrimidine,_5-methyl-2,4-bis[(trimethylsilyl)oxy]-"	1.338513958	0.673330114	t16
Lapi	"Butanoic_acid,_2,4-bis[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	-0.059231538	0.506668043	t16
Lapi	".beta.-Alanine,_3TMS_derivative"	-0.111845967	0.505664034	t16
Lapi	"3-Amino-2-piperidone,_2TMS_derivative"	0.072086526	0.571156063	t16
Lapi	Unknown_9_81	0.458198035	1.121409179	t16
Lapi	"Malic_acid,_3TMS_derivative"	-5.912597293	0.836102541	t16
Lapi	"Erythritol_2,_4TMS_derivative"	-0.270073277	0.437082923	t16
Lapi	"Tromethamine,_4TMS_derivative"	-0.015557537	0.331414684	t16
Lapi	"Pyroglutamic_acid,_TMS_derivative"	0.021020669	1.194833205	t16
Lapi	"L-Aspartic_acid,_3TMS_derivative"	-0.142626233	0.599497454	t16
Lapi	"L-Methionine,_2TMS_derivative"	-0.186130897	0.376846608	t16
Lapi	"L-5-Oxoproline,_,_2TMS_derivative"	0.130323103	0.539711247	t16
Lapi	"4-Pyrimidinamine,_N-(trimethylsilyl)-2-[(trimethylsilyl)oxy]-"	5.426052838	0.47279791	t16
Lapi	"4-Aminobutanoic_acid,_3TMS_derivative"	0.131948577	0.586789097	t16
Lapi	"L-Hydroxyproline,_(E)-,_3TMS_derivative_2"	0.162132581	1.203829395	t16
Lapi	"DL-Phenylalanine,_TMS_derivative"	-0.26673173	0.634070806	t16
